nama_provinsi,kode_kabkota,nama_kabkota,koordinat_kabkota,tahun,angka_harapan_hidup,angka_melek_huruf,lama_sekolah,pengeluaran_perkapita,ipm
"Prov. DKI Jakarta",3101,"Kepulauan Seribu","-5.77769,106.504",2012,70.77,98.398567,8.2005851,594.69089,20.5
"Prov. DKI Jakarta",3171,"Jakarta Selatan","-6.28461,106.794",2012,73.87,99.391964,11.102711,654.73081,11.9
"Prov. DKI Jakarta",3172,"Jakarta Timur","-6.26223,106.907",2012,73.7,99.554231,11.133365,650.41609,14.4
"Prov. DKI Jakarta",3173,"Jakarta Pusat","-6.18367,106.836",2012,72.55,99.551322,10.873744,652.47316,14.0
"Prov. DKI Jakarta",3174,"Jakarta Barat","-6.15971,106.755",2012,73.79,99.001464,10.754875,650.23187,15.2
"Prov. DKI Jakarta",3175,"Jakarta Utara","-6.1354,106.841",2012,73.08,99.203494,10.08194,645.98589,18.5
"Prov. Jawa Barat",3201,"Bogor","-6.54412,107.002",2012,69.7,95.270274,8.0001035,634.52038,24.9
"Prov. Jawa Barat",3202,"Sukabumi","-7.07493,106.717",2012,67.7,97.55764,6.9277189,632.14208,27.5
"Prov. Jawa Barat",3203,"Cianjur","-7.05156,107.126",2012,66.7,97.672089,6.8675212,620.39686,13.6
"Prov. Jawa Barat",3204,"Bandung","-7.07311,107.592",2012,69.17,98.78163,8.4697408,645.17459,25.0
"Prov. Jawa Barat",3205,"Garut","-7.3425,107.778",2012,66.39,98.981445,7.3741949,641.27713,23.6
"Prov. Jawa Barat",3206,"Tasikmalaya","-7.42885,108.164",2012,68.4,98.952341,7.3355588,636.52857,27.2
"Prov. Jawa Barat",3207,"Ciamis","-7.4369,108.486",2012,67.65,97.964195,7.4713988,634.46068,18.6
"Prov. Jawa Barat",3208,"Kuningan","-6.98826,108.591",2012,67.71,97.022732,7.4554879,634.98404,19.4
"Prov. Jawa Barat",3209,"Cirebon","-6.75547,108.576",2012,65.52,92.501321,6.8946964,637.93138,18.6
"Prov. Jawa Barat",3210,"Majalengka","-6.81747,108.228",2012,66.88,95.142736,7.1855057,638.1244,24.3
"Prov. Jawa Barat",3211,"Sumedang","-6.81018,107.979",2012,67.63,97.819287,7.9602092,640.82157,27.6
"Prov. Jawa Barat",3212,"Indramayu","-6.44806,108.198",2012,67.64,85.689984,5.9584496,642.32942,21.1
"Prov. Jawa Barat",3213,"Subang","-6.4939,107.726",2012,69.69,92.504266,6.9647453,635.84104,15.7
"Prov. Jawa Barat",3214,"Purwakarta","-6.58964,107.431",2012,67.64,96.652193,7.5727652,638.27816,21.8
"Prov. Jawa Barat",3215,"Karawang","-6.28699,107.364",2012,67.3,93.23668,7.3195251,635.90276,14.0
"Prov. Jawa Barat",3216,"Bekasi","-6.20242,107.135",2012,70.07,94.392126,8.7343812,641.00558,17.8
"Prov. Jawa Barat",3217,"Bandung Barat","-6.90356,107.464",2012,68.71,99.139177,8.114136,641.71563,27.3
"Prov. Jawa Barat",3271,"Kota Bogor","-6.59621,106.794",2012,69.07,98.972088,9.8069699,654.99515,18.7
"Prov. Jawa Barat",3272,"Kota Sukabumi","-6.94092,106.906",2012,69.96,99.722422,9.3588056,641.1765,19.2
"Prov. Jawa Barat",3273,"Kota Bandung","-6.90992,107.647",2012,69.85,99.720397,10.617515,644.4824,19.4
"Prov. Jawa Barat",3274,"Kota Cirebon","-6.74773,108.555",2012,68.54,97.444331,10.129028,654.28553,17.0
"Prov. Jawa Barat",3275,"Kota Bekasi","-6.28521,106.973",2012,69.76,98.570437,10.838237,650.44606,6.0
"Prov. Jawa Barat",3276,"Kota Depok","-6.39243,106.825",2012,73.34,99.011596,10.977152,654.94593,12.6
"Prov. Jawa Barat",3277,"Kota Cimahi","-6.88191,107.549",2012,69.32,99.799434,10.610006,640.62105,16.4
"Prov. Jawa Barat",3278,"Kota Tasikmalaya","-7.36021,108.218",2012,70.6,99.750963,8.8790474,636.11493,22.4
"Prov. Jawa Barat",3279,"Kota Banjar","-7.36996,108.559",2012,66.49,97.333503,8.1213484,637.85536,19.3
"Prov. Jawa Tengah",3301,"Cilacap","-7.4436,108.815",2012,71.43,91.494989,6.8715259,639.78323,17.6
"Prov. Jawa Tengah",3302,"Banyumas","-7.45231,109.168",2012,69.83,94.244955,7.7942927,641.78389,16.6
"Prov. Jawa Tengah",3303,"Purbalingga","-7.32767,109.409",2012,70.68,93.518695,7.2343251,638.41292,26.8
"Prov. Jawa Tengah",3304,"Banjarnegara","-7.35284,109.639",2012,69.36,88.489028,6.3525233,641.53194,22.2
"Prov. Jawa Tengah",3305,"Kebumen","-7.63749,109.611",2012,69.43,91.543699,6.9252077,641.77785,22.1
"Prov. Jawa Tengah",3306,"Purworejo","-7.70103,109.969",2012,71.04,92.793436,7.930084,638.50857,21.3
"Prov. Jawa Tengah",3307,"Wonosobo","-7.39755,109.903",2012,70.48,91.430722,6.5563812,632.71489,22.7
"Prov. Jawa Tengah",3308,"Magelang","-7.51056,110.247",2012,70.23,93.30529,7.5492962,641.45239,13.9
"Prov. Jawa Tengah",3309,"Boyolali","-7.38235,110.709",2012,70.49,87.96927,7.4281151,634.85826,20.0
"Prov. Jawa Tengah",3310,"Klaten","-7.67597,110.609",2012,71.84,89.92853,8.3081727,649.49341,18.2
"Prov. Jawa Tengah",3311,"Sukoharjo","-7.68287,110.831",2012,70.36,90.730188,8.5333029,652.39068,19.8
"Prov. Jawa Tengah",3312,"Wonogiri","-7.96073,111.035",2012,72.42,84.324319,6.654699,653.07363,18.0
"Prov. Jawa Tengah",3313,"Karanganyar","-7.61315,110.984",2012,72.36,88.945408,8.2675304,651.04974,22.3
"Prov. Jawa Tengah",3314,"Sragen","-7.39103,110.962",2012,72.95,84.414604,7.2228488,633.90417,24.3
"Prov. Jawa Tengah",3315,"Grobogan","-7.10693,110.894",2012,70.05,90.941115,6.8321617,638.67959,19.3
